Inflation,Quarter,Value
CPI forecast,2022Q4,10.749545412
CPI forecast,2023Q1,9.651274900
CPI forecast,2023Q2,6.890128410
CPI forecast,2023Q3,5.412091288
CPI forecast,2023Q4,2.882148949
CPI forecast,2024Q1,1.531089406
CPI forecast,2024Q2,0.797566235
CPI forecast,2024Q3,0.568514951
CPI forecast,2024Q4,0.544749074
CPI forecast,2025Q1,0.526466942
CPI forecast,2025Q2,0.005162072
CPI forecast,2025Q3,0.017006720
CPI forecast,2025Q4,-0.081174176
CPI forecast,2026Q1,-0.029637197
CPI forecast,2026Q2,0.303462438
CPI forecast,2026Q3,0.659734731
CPI forecast,2026Q4,1.059765644
CPI forecast,2027Q1,1.337719208
CPI forecast,2027Q2,1.455702868
CPI forecast,2027Q3,1.661502739
CPI forecast,2027Q4,1.830263543
CPI forecast,2028Q1,1.996230597
CPI forecast index,2022Q4,126.685666667
CPI forecast index,2023Q1,127.129322615
CPI forecast index,2023Q2,129.211281325
CPI forecast index,2023Q3,129.815341795
CPI forecast index,2023Q4,130.336936277
CPI forecast index,2024Q1,129.075786206
CPI forecast index,2024Q2,130.241826877
CPI forecast index,2024Q3,130.553361422
CPI forecast index,2024Q4,131.046945531
CPI forecast index,2025Q1,129.755327551
CPI forecast index,2025Q2,130.248550054
CPI forecast index,2025Q3,130.575564266
CPI forecast index,2025Q4,130.940569253
CPI forecast index,2026Q1,129.716871709
CPI forecast index,2026Q2,130.643805479
CPI forecast index,2026Q3,131.437016614
CPI forecast index,2026Q4,132.328232420
CPI forecast index,2027Q1,131.452119217
CPI forecast index,2027Q2,132.545591103
CPI forecast index,2027Q3,133.620846245
CPI forecast index,2027Q4,134.750187815
CPI forecast index,2028Q1,134.076206642
CPI outturn,1997Q1,1.908957416
CPI outturn,1997Q2,1.596516691
CPI outturn,1997Q3,2.031930334
CPI outturn,1997Q4,1.729106628
CPI outturn,1998Q1,1.585014409
CPI outturn,1998Q2,1.857142857
CPI outturn,1998Q3,1.280227596
CPI outturn,1998Q4,1.416430595
CPI outturn,1999Q1,1.560283688
CPI outturn,1999Q2,1.402524544
CPI outturn,1999Q3,1.264044944
CPI outturn,1999Q4,1.256983240
CPI outturn,2000Q1,0.698324022
CPI outturn,2000Q2,0.553250346
CPI outturn,2000Q3,0.832177531
CPI outturn,2000Q4,0.965517241
CPI outturn,2001Q1,0.970873786
CPI outturn,2001Q2,1.513067400
CPI outturn,2001Q3,1.513067400
CPI outturn,2001Q4,0.956284153
CPI outturn,2002Q1,1.510989011
CPI outturn,2002Q2,0.948509485
CPI outturn,2002Q3,1.084010840
CPI outturn,2002Q4,1.488497970
CPI outturn,2003Q1,1.488497970
CPI outturn,2003Q2,1.342281879
CPI outturn,2003Q3,1.340482574
CPI outturn,2003Q4,1.333333333
CPI outturn,2004Q1,1.2
CPI outturn,2004Q2,1.324503311
CPI outturn,2004Q3,1.322751323
CPI outturn,2004Q4,1.447368421
CPI outturn,2005Q1,1.844532279
CPI outturn,2005Q2,1.960784314
CPI outturn,2005Q3,2.349869452
CPI outturn,2005Q4,2.204928664
CPI outturn,2006Q1,1.811125485
CPI outturn,2006Q2,2.307692308
CPI outturn,2006Q3,2.423469388
CPI outturn,2006Q4,2.664974619
CPI outturn,2007Q1,2.922490470
CPI outturn,2007Q2,2.506265664
CPI outturn,2007Q3,1.743462017
CPI outturn,2007Q4,2.101359703
CPI outturn,2008Q1,2.375720165
CPI outturn,2008Q2,3.419722901
CPI outturn,2008Q3,4.838841289
CPI outturn,2008Q4,3.824051655
CPI outturn,2009Q1,3.005551246
CPI outturn,2009Q2,2.088718321
CPI outturn,2009Q3,1.489726027
CPI outturn,2009Q4,2.103188793
CPI outturn,2010Q1,3.274536585
CPI outturn,2010Q2,3.456673858
CPI outturn,2010Q3,3.085264659
CPI outturn,2010Q4,3.376261482
CPI outturn,2011Q1,4.118409468
CPI outturn,2011Q2,4.377184768
CPI outturn,2011Q3,4.705877977
CPI outturn,2011Q4,4.645818910
CPI outturn,2012Q1,3.490237352
CPI outturn,2012Q2,2.755359530
CPI outturn,2012Q3,2.412561948
CPI outturn,2012Q4,2.669861915
CPI outturn,2013Q1,2.776365301
CPI outturn,2013Q2,2.679388224
CPI outturn,2013Q3,2.708862340
CPI outturn,2013Q4,2.102762897
CPI outturn,2014Q1,1.739151204
CPI outturn,2014Q2,1.720563426
CPI outturn,2014Q3,1.456000811
CPI outturn,2014Q4,0.935231995
CPI outturn,2015Q1,0.100613406
CPI outturn,2015Q2,-0.016651514
CPI outturn,2015Q3,0.009653923
CPI outturn,2015Q4,0.067181056
CPI outturn,2016Q1,0.346767358
CPI outturn,2016Q2,0.351405455
CPI outturn,2016Q3,0.726304402
CPI outturn,2016Q4,1.211106015
CPI outturn,2017Q1,2.143529679
CPI outturn,2017Q2,2.742981565
CPI outturn,2017Q3,2.816854865
CPI outturn,2017Q4,3.021745270
CPI outturn,2018Q1,2.717650674
CPI outturn,2018Q2,2.416473370
CPI outturn,2018Q3,2.515339198
CPI outturn,2018Q4,2.268206854
CPI outturn,2019Q1,1.875
CPI outturn,2019Q2,2.047807408
CPI outturn,2019Q3,1.832848942
CPI outturn,2019Q4,1.413459501
CPI outturn,2020Q1,1.667124811
CPI outturn,2020Q2,0.616665739
CPI outturn,2020Q3,0.596669366
CPI outturn,2020Q4,0.533531666
CPI outturn,2021Q1,0.609581865
CPI outturn,2021Q2,2.051863389
CPI outturn,2021Q3,2.771614214
CPI outturn,2021Q4,4.907448451
CPI outturn,2022Q1,6.219518526
CPI outturn,2022Q2,9.169205390
CPI outturn,2022Q3,10.022126463
CPI outturn,2022Q4,10.749545412
CPI outturn index,1996Q1,68.1
CPI outturn index,1996Q2,68.9
CPI outturn index,1996Q3,68.9
CPI outturn index,1996Q4,69.4
CPI outturn index,1997Q1,69.4
CPI outturn index,1997Q2,70
CPI outturn index,1997Q3,70.3
CPI outturn index,1997Q4,70.6
CPI outturn index,1998Q1,70.5
CPI outturn index,1998Q2,71.3
CPI outturn index,1998Q3,71.2
CPI outturn index,1998Q4,71.6
CPI outturn index,1999Q1,71.6
CPI outturn index,1999Q2,72.3
CPI outturn index,1999Q3,72.1
CPI outturn index,1999Q4,72.5
CPI outturn index,2000Q1,72.1
CPI outturn index,2000Q2,72.7
CPI outturn index,2000Q3,72.7
CPI outturn index,2000Q4,73.2
CPI outturn index,2001Q1,72.8
CPI outturn index,2001Q2,73.8
CPI outturn index,2001Q3,73.8
CPI outturn index,2001Q4,73.9
CPI outturn index,2002Q1,73.9
CPI outturn index,2002Q2,74.5
CPI outturn index,2002Q3,74.6
CPI outturn index,2002Q4,75
CPI outturn index,2003Q1,75
CPI outturn index,2003Q2,75.5
CPI outturn index,2003Q3,75.6
CPI outturn index,2003Q4,76
CPI outturn index,2004Q1,75.9
CPI outturn index,2004Q2,76.5
CPI outturn index,2004Q3,76.6
CPI outturn index,2004Q4,77.1
CPI outturn index,2005Q1,77.3
CPI outturn index,2005Q2,78
CPI outturn index,2005Q3,78.4
CPI outturn index,2005Q4,78.8
CPI outturn index,2006Q1,78.7
CPI outturn index,2006Q2,79.8
CPI outturn index,2006Q3,80.3
CPI outturn index,2006Q4,80.9
CPI outturn index,2007Q1,81
CPI outturn index,2007Q2,81.8
CPI outturn index,2007Q3,81.7
CPI outturn index,2007Q4,82.6
CPI outturn index,2008Q1,82.924333333
CPI outturn index,2008Q2,84.597333333
CPI outturn index,2008Q3,85.653333333
CPI outturn index,2008Q4,85.758666667
CPI outturn index,2009Q1,85.416666667
CPI outturn index,2009Q2,86.364333333
CPI outturn index,2009Q3,86.929333333
CPI outturn index,2009Q4,87.562333333
CPI outturn index,2010Q1,88.213666667
CPI outturn index,2010Q2,89.349666667
CPI outturn index,2010Q3,89.611333333
CPI outturn index,2010Q4,90.518666667
CPI outturn index,2011Q1,91.846666667
CPI outturn index,2011Q2,93.260666667
CPI outturn index,2011Q3,93.828333333
CPI outturn index,2011Q4,94.724
CPI outturn index,2012Q1,95.052333333
CPI outturn index,2012Q2,95.830333333
CPI outturn index,2012Q3,96.092
CPI outturn index,2012Q4,97.253
CPI outturn index,2013Q1,97.691333333
CPI outturn index,2013Q2,98.398
CPI outturn index,2013Q3,98.695
CPI outturn index,2013Q4,99.298
CPI outturn index,2014Q1,99.390333333
CPI outturn index,2014Q2,100.091
CPI outturn index,2014Q3,100.132
CPI outturn index,2014Q4,100.226666667
CPI outturn index,2015Q1,99.490333333
CPI outturn index,2015Q2,100.074333333
CPI outturn index,2015Q3,100.141666667
CPI outturn index,2015Q4,100.294
CPI outturn index,2016Q1,99.835333333
CPI outturn index,2016Q2,100.426
CPI outturn index,2016Q3,100.869
CPI outturn index,2016Q4,101.508666667
CPI outturn index,2017Q1,101.975333333
CPI outturn index,2017Q2,103.180666667
CPI outturn index,2017Q3,103.710333333
CPI outturn index,2017Q4,104.576
CPI outturn index,2018Q1,104.746666667
CPI outturn index,2018Q2,105.674
CPI outturn index,2018Q3,106.319
CPI outturn index,2018Q4,106.948
CPI outturn index,2019Q1,106.710666667
CPI outturn index,2019Q2,107.838
CPI outturn index,2019Q3,108.267666667
CPI outturn index,2019Q4,108.459666667
CPI outturn index,2020Q1,108.489666667
CPI outturn index,2020Q2,108.503
CPI outturn index,2020Q3,108.913666667
CPI outturn index,2020Q4,109.038333333
CPI outturn index,2021Q1,109.151
CPI outturn index,2021Q2,110.729333333
CPI outturn index,2021Q3,111.932333333
CPI outturn index,2021Q4,114.389333333
CPI outturn index,2022Q1,115.939666667
CPI outturn index,2022Q2,120.882333333
CPI outturn index,2022Q3,123.150333333
CPI outturn index,2022Q4,126.685666667
GDP deflator forecast,2022Q4,6.647940075
GDP deflator forecast,2023Q1,4.138697903
GDP deflator forecast,2023Q2,3.553706763
GDP deflator forecast,2023Q3,2.384729516
GDP deflator forecast,2023Q4,1.541709739
GDP deflator forecast,2024Q1,2.648184363
GDP deflator forecast,2024Q2,1.929663207
GDP deflator forecast,2024Q3,1.684799760
GDP deflator forecast,2024Q4,1.392756490
GDP deflator forecast,2025Q1,1.276313217
GDP deflator forecast,2025Q2,1.015053917
GDP deflator forecast,2025Q3,1.011223083
GDP deflator forecast,2025Q4,0.960479349
GDP deflator forecast,2026Q1,0.868531008
GDP deflator forecast,2026Q2,0.975453645
GDP deflator forecast,2026Q3,1.054639880
GDP deflator forecast,2026Q4,1.258819808
GDP deflator forecast,2027Q1,1.498396274
GDP deflator forecast,2027Q2,1.573414104
GDP deflator forecast,2027Q3,1.654445998
GDP deflator forecast,2027Q4,1.710978500
GDP deflator forecast,2028Q1,1.669496303
GDP deflator forecast index,2022Q4,113.9
GDP deflator forecast index,2023Q1,113.094625923
GDP deflator forecast index,2023Q2,114.426845974
GDP deflator forecast index,2023Q3,115.080435976
GDP deflator forecast index,2023Q4,115.656007392
GDP deflator forecast index,2024Q1,116.089580121
GDP deflator forecast index,2024Q2,116.634898720
GDP deflator forecast index,2024Q3,117.019310885
GDP deflator forecast index,2024Q4,117.266813942
GDP deflator forecast index,2025Q1,117.571246776
GDP deflator forecast index,2025Q2,117.818805828
GDP deflator forecast index,2025Q3,118.202637169
GDP deflator forecast index,2025Q4,118.393137472
GDP deflator forecast index,2026Q1,118.592389511
GDP deflator forecast index,2026Q2,118.968073664
GDP deflator forecast index,2026Q3,119.449249320
GDP deflator forecast index,2026Q4,119.883493738
GDP deflator forecast index,2027Q1,120.369373457
GDP deflator forecast index,2027Q2,120.839934115
GDP deflator forecast index,2027Q3,121.425472644
GDP deflator forecast index,2027Q4,121.934674541
GDP deflator forecast index,2028Q1,122.378935698
GDP deflator outturn,2010Q1,1.420118343
GDP deflator outturn,2010Q2,1.416765053
GDP deflator outturn,2010Q3,0.821596244
GDP deflator outturn,2010Q4,2.130177515
GDP deflator outturn,2011Q1,2.333722287
GDP deflator outturn,2011Q2,1.513387660
GDP deflator outturn,2011Q3,2.328288708
GDP deflator outturn,2011Q4,2.317497103
GDP deflator outturn,2012Q1,1.026225770
GDP deflator outturn,2012Q2,1.949541284
GDP deflator outturn,2012Q3,1.478953356
GDP deflator outturn,2012Q4,1.359003398
GDP deflator outturn,2013Q1,2.031602709
GDP deflator outturn,2013Q2,2.024746907
GDP deflator outturn,2013Q3,2.578475336
GDP deflator outturn,2013Q4,2.122905028
GDP deflator outturn,2014Q1,1.659292035
GDP deflator outturn,2014Q2,0.992282249
GDP deflator outturn,2014Q3,1.202185792
GDP deflator outturn,2014Q4,1.312910284
GDP deflator outturn,2015Q1,0.979325354
GDP deflator outturn,2015Q2,0.873362445
GDP deflator outturn,2015Q3,0.215982721
GDP deflator outturn,2015Q4,0.755939525
GDP deflator outturn,2016Q1,1.185344828
GDP deflator outturn,2016Q2,1.731601732
GDP deflator outturn,2016Q3,2.155172414
GDP deflator outturn,2016Q4,2.250803859
GDP deflator outturn,2017Q1,2.023429180
GDP deflator outturn,2017Q2,2.127659574
GDP deflator outturn,2017Q3,1.476793249
GDP deflator outturn,2017Q4,1.677148847
GDP deflator outturn,2018Q1,1.461377871
GDP deflator outturn,2018Q2,1.770833333
GDP deflator outturn,2018Q3,1.871101871
GDP deflator outturn,2018Q4,1.855670103
GDP deflator outturn,2019Q1,1.748971193
GDP deflator outturn,2019Q2,2.047082907
GDP deflator outturn,2019Q3,2.346938776
GDP deflator outturn,2019Q4,2.327935223
GDP deflator outturn,2020Q1,3.640040445
GDP deflator outturn,2020Q2,10.531594784
GDP deflator outturn,2020Q3,5.782652044
GDP deflator outturn,2020Q4,4.747774481
GDP deflator outturn,2021Q1,4.097560976
GDP deflator outturn,2021Q2,-4.990925590
GDP deflator outturn,2021Q3,-0.471253534
GDP deflator outturn,2021Q4,0.849858357
GDP deflator outturn,2022Q1,1.780693533
GDP deflator outturn,2022Q2,5.539637058
GDP deflator outturn,2022Q3,6.439393939
GDP deflator outturn,2022Q4,6.647940075
GDP deflator outturn index,1996Q1,63.5
GDP deflator outturn index,1996Q2,64.7
GDP deflator outturn index,1996Q3,65.2
GDP deflator outturn index,1996Q4,65.6
GDP deflator outturn index,1997Q1,64.5
GDP deflator outturn index,1997Q2,64.5
GDP deflator outturn index,1997Q3,65.8
GDP deflator outturn index,1997Q4,64.6
GDP deflator outturn index,1998Q1,65.2
GDP deflator outturn index,1998Q2,65.5
GDP deflator outturn index,1998Q3,66.1
GDP deflator outturn index,1998Q4,66.5
GDP deflator outturn index,1999Q1,66.6
GDP deflator outturn index,1999Q2,66.8
GDP deflator outturn index,1999Q3,66.6
GDP deflator outturn index,1999Q4,67.1
GDP deflator outturn index,2000Q1,67.5
GDP deflator outturn index,2000Q2,67.5
GDP deflator outturn index,2000Q3,67.8
GDP deflator outturn index,2000Q4,67.8
GDP deflator outturn index,2001Q1,68.3
GDP deflator outturn index,2001Q2,69
GDP deflator outturn index,2001Q3,69.2
GDP deflator outturn index,2001Q4,69.1
GDP deflator outturn index,2002Q1,69.8
GDP deflator outturn index,2002Q2,70.3
GDP deflator outturn index,2002Q3,70.6
GDP deflator outturn index,2002Q4,71.1
GDP deflator outturn index,2003Q1,71.4
GDP deflator outturn index,2003Q2,72.2
GDP deflator outturn index,2003Q3,72.5
GDP deflator outturn index,2003Q4,72.6
GDP deflator outturn index,2004Q1,72.9
GDP deflator outturn index,2004Q2,74
GDP deflator outturn index,2004Q3,74.1
GDP deflator outturn index,2004Q4,75.4
GDP deflator outturn index,2005Q1,75.5
GDP deflator outturn index,2005Q2,76.4
GDP deflator outturn index,2005Q3,76.6
GDP deflator outturn index,2005Q4,76.8
GDP deflator outturn index,2006Q1,77.4
GDP deflator outturn index,2006Q2,78.5
GDP deflator outturn index,2006Q3,79.4
GDP deflator outturn index,2006Q4,79.2
GDP deflator outturn index,2007Q1,79.4
GDP deflator outturn index,2007Q2,80.8
GDP deflator outturn index,2007Q3,80.9
GDP deflator outturn index,2007Q4,80.8
GDP deflator outturn index,2008Q1,81.5
GDP deflator outturn index,2008Q2,82.6
GDP deflator outturn index,2008Q3,83.9
GDP deflator outturn index,2008Q4,84.7
GDP deflator outturn index,2009Q1,84.5
GDP deflator outturn index,2009Q2,84.7
GDP deflator outturn index,2009Q3,85.2
GDP deflator outturn index,2009Q4,84.5
GDP deflator outturn index,2010Q1,85.7
GDP deflator outturn index,2010Q2,85.9
GDP deflator outturn index,2010Q3,85.9
GDP deflator outturn index,2010Q4,86.3
GDP deflator outturn index,2011Q1,87.7
GDP deflator outturn index,2011Q2,87.2
GDP deflator outturn index,2011Q3,87.9
GDP deflator outturn index,2011Q4,88.3
