name,age_min,age_max,education_duration,graduation_month,education_level,required_level
Less than GCSE,0,100,0,8,0,0
GCSE,0,100,192,8,1,0
CSE,0,100,192,8,1,0
Standard/Lower,0,100,180,8,1,0
Other Secondary Cert,0,0,192,8,1,0
AS-Level,15,21,12,8,2,0
International Baccalaureate,15,19,24,8,3,0
A2-Level,17,21,12,8,3,2
A-Level,17,100,12,8,3,0
Highers (Scotland),14,17,24,8,3,0
Welsh Baccalaureate,17,19,12,8,3,0
HE Diploma,15,100,36,8,3,0
Teaching (Non-PGCE),15,100,36,nan,3,0
Degree,17,100,36,7,4,3
Higher Degree,20,100,36,nan,6,4
Medical Education,17,100,60,nan,7,3